Episode,Total Reward,Steps,Epsilon
511,-50.48001228699646,1690,0.001
512,2734.064253407834,676,0.001
513,2491.9352179570137,694,0.001
514,-2608.2083203642424,1790,0.001
515,163.78233049307187,1156,0.001
516,-4425.684129508207,2054,0.001
517,1185.153602332757,1037,0.001
518,2203.730348522407,755,0.001
519,2749.9124019529277,714,0.001
520,706.7593221397983,1163,0.001
521,1943.4751606772911,1072,0.001
522,-561.8925558036929,1579,0.001
523,4194.894813906457,1204,0.001
524,-1330.7987512742968,1506,0.001
525,170.1041005375819,1149,0.001
526,2675.3092623704133,696,0.001
527,2476.8014941435067,708,0.001
528,-1908.753173551015,1692,0.001
529,152.57339395753482,1150,0.001
530,584.6573510321414,1112,0.001
531,-285.5229610981836,1232,0.001
532,2186.9921682014296,764,0.001
533,2281.1478990833657,750,0.001
534,-1981.7109563168856,1586,0.001
535,3488.7097347365852,1203,0.001
536,230.33024518304512,2077,0.001
537,-5279.390865763336,2957,0.001
538,3396.5255219943474,1514,0.001
539,2701.8827647916773,1178,0.001
540,6295.210675518907,1201,0.001
541,821.118854617873,1156,0.001
542,3403.7654405562175,745,0.001
543,501.44021933298455,1057,0.001
544,261.96660975973964,1119,0.001
545,2463.922290933525,691,0.001
546,587.630366256565,1215,0.001
547,-743.8365272434122,2795,0.001
548,1015.7770837288746,1094,0.001
549,3407.165039464019,727,0.001
550,717.9823486008337,1744,0.001
551,2589.602517242753,701,0.001
552,1407.7741060256176,1208,0.001
553,2502.6788525741167,690,0.001
554,2619.5982175911845,658,0.001
555,2517.6718311199797,667,0.001
556,-923.7675031896293,2723,0.001
557,430.525350443353,1283,0.001
558,1490.0839095665847,1119,0.001
559,-1511.8230447559351,1681,0.001
560,87.3699582795284,1275,0.001
561,3621.296873493792,1494,0.001
562,2278.3141059025006,761,0.001
563,753.9747656016574,1173,0.001
564,6781.332346917621,1210,0.001
565,914.5747583822005,1190,0.001
566,-123.63424177316142,1216,0.001
567,533.5792652617566,1205,0.001
568,-4649.5861956417875,2140,0.001
569,959.0070474923107,1239,0.001
570,418.05974662233797,1242,0.001
571,1760.9109615660627,1067,0.001
572,2834.166524174816,1162,0.001
573,-1335.3723914232153,1671,0.001
574,1432.4483457896936,1221,0.001
575,2277.368730629703,2050,0.001
576,1677.8347955694119,1677,0.001
577,2869.1136038621366,1164,0.001
578,4282.458378541546,1713,0.001
579,5990.32110658413,2053,0.001
580,1586.6421899557433,1167,0.001
581,1088.7725185597355,1203,0.001
582,7675.510219018251,1821,0.001
583,-3286.226695897604,2141,0.001
584,1878.4995248374878,1040,0.001
585,3778.9507743305458,750,0.001
586,-1848.1158148240283,1701,0.001
587,2144.5038277037165,1194,0.001
588,7640.253663287333,1037,0.001
589,3646.447668953467,695,0.001
590,1285.845884020955,1139,0.001
591,-301.2497830092923,2012,0.001
592,1598.9050951349025,1642,0.001
593,3996.745561756226,1718,0.001
594,1227.7760973932336,1683,0.001
595,1613.5215585034066,1139,0.001
596,1485.938474797694,1141,0.001
597,102.99267009935416,1198,0.001
598,1461.8394056617608,1259,0.001
599,-917.6570577742679,1202,0.001
600,772.8481390912666,1493,0.001
601,242.84979199605579,1238,0.001
602,1081.6336633101262,1110,0.001
603,374.1896696447695,1217,0.001
604,2021.5136757844807,1159,0.001
605,767.9899006787857,1226,0.001
606,-533.1340246786951,1159,0.001
607,-1731.5143016732975,1585,0.001
608,2446.0166413872093,720,0.001
609,3459.3721221075607,700,0.001
610,1655.5281167343683,1193,0.001
611,3964.4299914589533,774,0.001
612,2625.884117182817,741,0.001
613,2572.400304282127,708,0.001
